city,state,country,latitude,longitude,coastal,koppen_climate,continent,total_population_metropolitan_area,total_population_metropolitan_area_citation,population_density_km2,population_density_km2 citation,land_area_km2,land_area_km2 citation ,elevation_above_sea_level_meters,ave_june_temp_celsius,number_of_hospitals ,number_of_hospitals citation,green_space_km2,number_sewage_treatment_plants,average_building_height_meters,average_income_of_resident,number_of_tourists_annually,number of tourist annually citation,peak_tourism_month,annual_mass_transit_ridership,average_age_of_residents,antimicrobial_usage
honolulu,Hawaii,USA,21.30694,-157.85833,yes,tropical_rainforest_climate,oceania,"974,563",https://citypopulation.de/en/usa/metro/46520__honolulu/,"2,176.60",https://worldpopulationreview.com/us-cities/honolulu-hi-population,156.7,https://en.wikipedia.org/wiki/Honolulu,6,27.5,7,https://en.wikipedia.org/wiki/List_of_hospitals_in_Hawaii,,9,,,10424995.00 ,https://www.hawaiitourismauthority.org/news/news-releases/2020/hawai-i-visitor-statistics-released-for-2019/,,,,
baltimore,Maryland,USA,39.29038,-76.61219,yes,humid_subtropical_climate,north_america,"2,800,053",https://citypopulation.de/en/usa/metro/,"2,745.40",https://worldpopulationreview.com/us-cities/baltimore-md-population,209.65,https://en.wikipedia.org/wiki/Baltimore,150,25.8,21,https://www.officialusa.com/stateguides/health/hospitals/maryland.html,,2,,,26200000.00 ,https://www.bizjournals.com/baltimore/news/2018/09/25/baltimore-drew-more-than-26-million-visitors-last.html,,,,
doha,,Qatar,25.27932,51.52245,yes,hot_desert_climate,middle_east,"646,000",https://www.macrotrends.net/cities/22179/doha/population,"4,859",https://www.worldscapitalcities.com/capital-facts-for-doha-qatar/,132,https://en.wikipedia.org/wiki/Doha,10,37.5,13,google maps,,3,,,1800000.00 ,https://www.statista.com/statistics/1016135/qatar-overnight-tourists-number/,,,,
paris,,France,48.85341,2.3488,no,marine_west_coast_climate,europe,"11,079,000",https://www.macrotrends.net/cities/20985/paris/population,"20,000",https://en.wikipedia.org/wiki/Paris,105.4,https://www.worldscapitalcities.com/capital-facts-for-paris-france/,35,19.7,39,https://en.parisinfo.com/practical-paris/useful-info/health-in-paris,,6,,,30000000.00 ,https://www.condorferries.co.uk/france-tourism-statistics,,,,
auckland,,New Zealand ,-36.86667,174.76667,yes,marine_west_coast_climate,oceania,"1,630,000",https://www.macrotrends.net/cities/21957/auckland/population,"1,210",https://worldpopulationreview.com/world-cities/auckland-population,607,https://en.wikipedia.org/wiki/Auckland,196,10.6,16,"https://apps.allianzworldwidecare.com/poi/hospital-doctor-and-health-practitioner-finder?PROVTYPE=HOSPITALS&TRANS=Hospitals%20in%20Auckland,%20New%20Zealand&CON=Oceania&COUNTRY=New_Zealand&CITY=Auckland&choice=en",,18,,,3800000.00 ,https://camperchamp.com.au/statistics/new-zealand/,,,,
brisbane,Queensland,Australia,-27.46794,153.02809,yes,humid_subtropical_climate,oceania,"2,439,000",https://www.macrotrends.net/cities/206170/brisbane/population,346,https://worldpopulationreview.com/world-cities/brisbane-population,1342,https://en.wikipedia.org/wiki/City_of_Brisbane,28,15.3,50,https://www.brisbane-australia.com/brisbane-healthcare.html,,12,,,9100000.00 ,https://camperchamp.com.au/statistics/australia/queensland-tourism/,,,,
hamilton,,New Zealand,-37.78333,175.28333,no,marine_west_coast_climate,oceania,"176,500","https://en.wikipedia.org/wiki/Hamilton,_New_Zealand","1,600","https://en.wikipedia.org/wiki/Hamilton,_New_Zealand",110,"https://en.wikipedia.org/wiki/Hamilton,_New_Zealand",95,17.8,2,"https://apps.allianzworldwidecare.com/poi/hospital-doctor-and-health-practitioner-finder?PROVTYPE=HOSPITALS&TRANS=Hospitals%20in%20Hamilton,%20New%20Zealand&CON=Oceania&COUNTRY=New_Zealand&CITY=Hamilton&choice=en",,1,,,1000000.00 ,"https://en.wikipedia.org/wiki/Hamilton,_New_Zealand",,,,
minneapolis,Minnesota-Wisconsin,USA,44.97997,-93.26384,no,cold_semi_arid_climates,north_america,"3,640,043",https://citypopulation.de/en/usa/metro/,2891.9, https://statisticalatlas.com/place/Minnesota/Minneapolis/Population,149,https://en.wikipedia.org/wiki/Minneapolis,253,22.2,143,https://www.mnhospitals.org/mn-hospitals/quick-facts,,9,,,34500000.00 ,https://www.minneapolis.org/media/news-releases/minneapolis-st-paul-sets-visitor-record-2018/,,,,
naples,,Italy,40.85631,14.24641,yes,hot-summer_mediterranean_climate,europe,"2,183,000",https://www.macrotrends.net/cities/21574/naples/population,"2,632",http://www.cityfied.eu/city-cluster/napoli.kl,119.02,http://www.cityfied.eu/city-cluster/napoli.kl,0.9144,30.3,4,google maps ,,5,,,13100000.00 ,https://luggagehero.com/blog/italy-travel-statistics/,,,,
vienna,,Austria,48.20849,16.37208,no,warm_humid_continental_climate,europe,"1,945,000",https://www.macrotrends.net/cities/20107/vienna/population,"4,000",https://worldpopulationreview.com/world-cities/vienna-population,152.6,https://en.wikipedia.org/wiki/Vienna,151,25,74,"https://apps.allianzworldwidecare.com/poi/hospital-doctor-and-health-practitioner-finder?PROVTYPE=HOSPITALS&TRANS=Hospitals%20in%20Vienna,%20Austria&CON=Europe&COUNTRY=Austria&CITY=Vienna&choice=en",,,,,17600000.00 ,https://metropole.at/record-vienna-tourism/,,,,
